base,exponent,growth_value,iterative_ns,recursive_ns
1.0952,15,3912.0241,1298.0,997.0
1.0835,23,6325.066,1695.0,1145.0
1.0937,27,11226.6899,2097.0,1170.0
1.0148,33,1623.8845,2234.0,1034.0
1.0437,25,2913.3461,1813.0,1032.0
1.0995,24,9742.8409,1894.0,895.0
1.0302,21,1867.895,1599.0,1020.0
1.0938,46,61822.1744,2902.0,1295.0
1.0685,10,1939.7478,1322.0,1343.0
1.0224,19,1523.3369,1516.0,1037.0
1.0926,31,15570.3036,2127.0,1269.0
1.0726,9,1879.0578,993.0,769.0
1.0783,31,10349.7,2344.0,1275.0
1.0504,1,1050.4,510.0,195.0
1.0915,2,1191.3722,566.0,332.0
1.033,10,1383.5766,1016.0,766.0
1.0594,47,15059.7764,2955.0,1731.0
1.0648,28,5801.031,1974.0,1046.0
1.02,19,1456.8112,1502.0,1024.0
1.0314,8,1280.6104,922.0,628.0
1.0143,27,1467.2141,1928.0,1336.0
1.0675,40,13636.8903,2622.0,1041.0
1.0511,8,1489.8834,1274.0,1083.0
1.0853,32,13727.5709,4291.0,1565.0
1.0637,2,1131.4577,589.0,338.0
1.0669,37,10979.371,2478.0,1587.0
1.0318,10,1367.5879,2034.0,1164.0
1.0362,1,1036.2,754.0,298.0
1.0653,16,2751.3816,2223.0,2310.0
1.0614,12,2044.3206,1196.0,779.0
1.0698,6,1499.0481,856.0,878.0
1.0571,24,3791.279,2265.0,920.0
1.0161,34,1721.2317,2661.0,1054.0
1.059,33,6630.8115,2705.0,1045.0
1.0599,25,4281.7598,1811.0,1037.0
1.0886,3,1290.0454,626.0,466.0
1.0672,24,4763.2086,2144.0,893.0
1.0328,2,1066.6758,571.0,336.0
1.0421,5,1228.9861,757.0,616.0
1.041,47,6609.7386,3379.0,1555.0
1.0691,7,1596.3507,1120.0,809.0
1.0794,48,39152.1719,3370.0,1129.0
1.0781,9,1967.5755,1062.0,821.0
1.014,35,1626.7785,2739.0,1301.0
1.0405,42,5298.6783,2953.0,1281.0
1.0258,50,3573.837,3419.0,1466.0
1.0716,45,22463.2051,3184.0,1451.0
1.0531,12,1860.5243,1252.0,826.0
1.083,5,1489.8491,828.0,671.0
1.0744,30,8609.5408,2432.0,1246.0
1.0133,13,1187.3932,1299.0,979.0
1.0139,13,1196.5658,1291.0,974.0
1.0897,21,6073.597,1756.0,1271.0
1.094,33,19389.7239,2461.0,1181.0
1.0458,35,4794.0473,2556.0,1289.0
1.0526,3,1166.2458,689.0,511.0
1.0778,13,2648.4778,1446.0,977.0
1.0357,50,5776.9527,3434.0,1303.0
1.0143,42,1815.4733,2961.0,1424.0
1.0399,8,1367.5167,1001.0,674.0
1.0819,28,9062.3198,2209.0,1141.0
1.0901,48,62861.4367,3307.0,1431.0
1.0496,25,3354.2509,3523.0,2103.0
1.0405,12,1610.2934,1278.0,835.0
1.0547,32,5497.0068,2634.0,980.0
1.0431,34,4198.3839,2574.0,1140.0
1.034,6,1222.1464,887.0,670.0
1.0754,6,1546.7502,881.0,674.0
1.0488,12,1771.3817,1470.0,827.0
1.0591,21,3339.4606,1762.0,1124.0
1.0192,21,1490.8973,1755.0,1118.0
1.0695,20,3833.6793,1695.0,988.0
1.0501,46,9475.6779,3357.0,1470.0
1.0484,45,8389.1035,3144.0,1445.0
1.05,29,4116.1356,2376.0,1286.0
1.0138,23,1370.5743,1872.0,1251.0
1.0653,28,5877.7885,2156.0,1139.0
1.0347,4,1146.1931,927.0,528.0
1.0168,41,1979.9628,2989.0,1321.0
1.0466,33,4495.3561,2850.0,1197.0
1.0821,44,32193.298,3798.0,1358.0
1.0244,2,1049.3954,672.0,383.0
1.0229,39,2418.2097,3027.0,2099.0
1.071,29,7309.6175,2412.0,1358.0
1.0131,5,1067.2387,835.0,673.0
1.0312,42,3634.1428,2978.0,1496.0
1.043,25,2864.8884,1991.0,1144.0
1.0955,3,1314.7317,692.0,510.0
1.0645,44,15646.215,3080.0,1312.0
1.0505,24,3262.1608,2104.0,985.0
1.0435,49,8056.1996,3454.0,1283.0
1.0169,9,1162.7979,1066.0,819.0
1.0577,26,4299.5709,2211.0,1116.0
1.0383,18,1967.0318,1625.0,982.0
1.0325,8,1291.5775,1005.0,677.0
1.0123,12,1158.0061,1246.0,836.0
1.0549,25,3804.3661,2154.0,1145.0
1.0922,8,2024.9643,1002.0,731.0
1.0336,17,1753.8503,1554.0,991.0
1.0734,14,2695.6424,1366.0,958.0
1.0997,19,6084.2952,1804.0,1119.0
1.0725,32,9391.0386,2403.0,976.0
1.028,9,1282.1476,1064.0,818.0
1.0868,29,11177.3606,2230.0,1503.0
1.0255,46,3184.495,2975.0,1286.0
1.0501,6,1340.8616,808.0,610.0
1.0829,21,5325.4392,1608.0,1154.0
1.0701,46,22569.4381,2930.0,1289.0
1.0158,35,1730.9611,2351.0,1177.0
1.0361,20,2032.5137,1693.0,895.0
1.0866,46,45625.3524,2966.0,1291.0
1.0739,45,24738.474,2866.0,1317.0
1.0674,24,4784.6785,1914.0,898.0
1.0558,8,1544.0212,1347.0,893.0
1.0987,9,2332.9859,1783.0,1525.0
1.0313,32,2681.1466,4234.0,896.0
1.0124,36,1558.3927,2408.0,1031.0
1.0615,30,5992.3884,2081.0,1314.0
1.0823,36,17239.1443,2401.0,1038.0
1.0217,6,1137.4711,809.0,610.0
1.0159,26,1507.0407,1874.0,1016.0
1.1,47,88197.4853,3110.0,1459.0
1.0531,27,4042.7748,1925.0,1164.0
1.0792,37,16779.2157,2455.0,1159.0
1.0166,21,1413.0327,1746.0,1122.0
1.0678,29,6702.0487,1980.0,1139.0
1.0519,34,5586.3929,2220.0,1021.0
1.041,50,7456.525,3172.0,1204.0
1.0596,38,9023.8961,2415.0,1132.0
1.0264,9,1264.299,956.0,727.0
1.0489,4,1210.4207,685.0,472.0
1.0848,34,15918.0184,2425.0,1263.0
1.0238,11,1295.2881,1089.0,889.0
1.0246,46,3058.4414,3396.0,1591.0
1.0303,34,2759.0895,2609.0,1080.0
1.0905,6,1681.7213,956.0,930.0
1.0326,41,3725.7778,2964.0,1423.0
1.0961,18,5215.5871,1461.0,896.0
1.0213,20,1524.2866,1569.0,1041.0
1.0653,6,1461.6102,825.0,606.0
1.0552,11,1805.8539,1081.0,880.0
1.0633,38,10301.9853,2683.0,1224.0
1.0239,43,2761.0505,2759.0,1316.0
1.0662,39,12181.7154,2548.0,1434.0
1.0404,37,4329.2504,2445.0,1152.0
1.0137,2,1027.5877,568.0,338.0
1.0173,42,2055.2273,2706.0,1164.0
1.0794,17,3665.2283,1592.0,907.0
1.0686,50,27590.4315,3169.0,1186.0
1.0615,40,10884.2859,2599.0,1166.0
1.0675,32,8086.7176,2195.0,888.0
1.09,35,20413.9679,2336.0,1181.0
1.0361,20,2032.5137,1553.0,896.0
1.0535,44,9906.4889,2946.0,1235.0
1.0465,30,3910.002,2088.0,1131.0
1.0166,4,1068.0717,699.0,480.0
1.0242,27,1907.1675,1921.0,1298.0
1.0536,14,2077.1156,1343.0,849.0
1.0406,10,1488.8064,987.0,740.0
1.0381,46,5584.7378,2834.0,1249.0
1.0387,23,2394.8208,1793.0,1111.0
1.0978,9,2315.8426,992.0,725.0
1.0785,33,12107.7914,2190.0,994.0
1.0605,21,3433.3978,1567.0,1115.0
1.0318,8,1284.589,894.0,601.0
1.0341,16,1710.0177,1322.0,732.0
1.0227,4,1093.9388,678.0,729.0
1.0361,25,2426.8439,2414.0,1024.0
1.0878,27,9701.1779,2145.0,1142.0
1.0323,11,1418.6171,1130.0,862.0
1.0832,37,19240.666,2562.0,1150.0
1.0749,13,2557.3185,1187.0,1088.0
1.0787,32,11293.3222,2199.0,891.0
1.0996,30,17260.0455,2130.0,1156.0
1.0549,20,2912.2312,1579.0,897.0
1.0548,6,1377.2752,1036.0,632.0
1.0951,33,20043.5529,2368.0,1006.0
1.0512,16,2223.134,1320.0,734.0
1.0294,23,1947.313,1668.0,1157.0
1.0144,19,1312.1261,1689.0,999.0
1.0545,42,9288.7341,2699.0,1151.0
1.0705,19,3648.7723,1496.0,1008.0
1.0583,7,1486.8309,854.0,933.0
1.0488,17,2247.8925,1383.0,940.0
1.0755,49,35392.4251,3003.0,1131.0
1.0463,3,1145.4303,607.0,449.0
1.0461,37,5299.1776,2518.0,1123.0
1.0606,24,4104.2986,1751.0,910.0
1.0598,5,1336.9636,760.0,614.0
1.0448,29,3564.1974,2108.0,1446.0
1.0788,18,3916.8495,1859.0,1209.0
1.0843,40,25467.0306,2835.0,1608.0
1.0712,8,1733.6623,960.0,620.0
1.0216,7,1161.3582,885.0,1263.0
1.0455,22,2661.5144,2027.0,1055.0
1.0602,24,4067.3093,1807.0,901.0
1.0779,13,2651.674,1215.0,885.0
1.0642,26,5042.0206,2098.0,1016.0
1.055,3,1174.2414,685.0,464.0
1.0135,46,1853.0735,2911.0,1288.0
1.04,31,3373.1334,2131.0,1421.0
1.0567,10,1735.8695,1017.0,756.0
1.0646,33,7891.3852,2260.0,1031.0
1.0226,40,2444.7336,2601.0,1170.0
1.0387,26,2683.7584,1867.0,1063.0
1.0992,48,93687.6933,3018.0,1028.0
1.0858,38,22829.3643,2492.0,1307.0
1.0403,33,3683.2716,2259.0,1027.0
1.0579,46,13318.4102,2900.0,1283.0
1.0607,31,6213.9769,2269.0,1265.0
